iter	MultiClass
0	1.03689346
1	0.9811322605
2	0.9346145948
3	0.8933529675
4	0.8554681061
5	0.8212074643
6	0.7883120286
7	0.7584683567
8	0.7329746644
9	0.7090288028
10	0.6853958738
11	0.6651056394
12	0.6454144063
13	0.6270441624
14	0.611226252
15	0.5958721918
16	0.5816634101
17	0.5678711131
18	0.5550306551
19	0.5431430073
20	0.5304327699
21	0.5195816038
22	0.5085233025
23	0.4995808998
24	0.4897647923
25	0.4821380403
26	0.4734628556
27	0.4639283969
28	0.4564798139
29	0.448391678
30	0.4414407763
31	0.4346031238
32	0.4283391643
33	0.4226907101
34	0.4168282592
35	0.4120524513
36	0.4060979092
37	0.400844538
38	0.3963537124
39	0.3917213499
40	0.3876143859
41	0.3831000281
42	0.3797302545
43	0.3759889827
44	0.3718634594
45	0.3685284867
46	0.3650291063
47	0.3623593806
48	0.3591596864
49	0.3557058056
50	0.3524004068
51	0.3491786045
52	0.3470316224
53	0.3452345974
54	0.3435869148
55	0.3405292648
56	0.3384115709
57	0.3365947049
58	0.333876515
59	0.3325332481
60	0.3300398178
61	0.328681567
62	0.3264110455
63	0.3242594152
64	0.3230012403
65	0.321407425
66	0.3198050623
67	0.3178334915
68	0.3161640139
69	0.3151002745
70	0.3137889856
71	0.3128558345
72	0.311432641
73	0.3097411189
74	0.3078850823
75	0.3071905096
76	0.305699136
77	0.3047807483
78	0.3037711704
79	0.3029149667
80	0.3013129155
81	0.3005595875
82	0.2992843896
83	0.2985105051
84	0.2973257457
85	0.2958449506
86	0.2951754336
87	0.2943574884
88	0.2932007401
89	0.2919698104
90	0.2914122326
91	0.2902035332
92	0.2894107144
93	0.2888233698
94	0.2877134035
95	0.2871740499
96	0.2863302742
97	0.2858730137
98	0.2851092146
99	0.284555395
100	0.283545229
101	0.2831629114
102	0.2825780472
103	0.2818760011
104	0.2809056857
105	0.279749129
106	0.2792224799
107	0.2783271366
108	0.2771842708
109	0.2766644341
110	0.2760093682
111	0.2756829953
112	0.2752781562
113	0.2749467985
114	0.2747270041
115	0.2738280887
116	0.2737145656
117	0.2730101713
118	0.272402533
119	0.2722104159
120	0.2714677614
121	0.2712284394
122	0.2702274652
123	0.2696289115
124	0.269627383
125	0.2693050756
126	0.2685747275
127	0.2678443535
128	0.2670508005
129	0.2662228088
130	0.2659523518
131	0.2654009621
132	0.2650554494
133	0.2647220822
134	0.2644364493
135	0.2642205311
136	0.2638505632
137	0.2632734034
138	0.2631078477
139	0.2629153407
140	0.262820481
141	0.2621978924
142	0.2620504612
143	0.2615145369
144	0.2613539744
145	0.2610808937
146	0.2607318193
147	0.2604227916
148	0.2600081567
149	0.2596545597
150	0.2594889531
151	0.2591717091
152	0.2590839143
153	0.2585986577
154	0.2584659589
155	0.2577149601
156	0.2576260531
157	0.2572006233
158	0.2570950314
159	0.2570418155
160	0.2569048995
161	0.256477586
162	0.2561363224
163	0.2558473952
164	0.2556589791
165	0.2555565972
166	0.2554707727
167	0.2552169575
168	0.2550990748
169	0.2549909636
170	0.2547684316
171	0.2546742064
172	0.254459461
173	0.254315928
174	0.2542353115
175	0.2535793751
176	0.2533301925
177	0.2531973563
178	0.2530973319
179	0.2526390499
180	0.2525763929
181	0.2524635041
182	0.2523165101
183	0.2522342742
184	0.2521127934
185	0.2520280487
186	0.2518633016
187	0.2517314868
188	0.2516379737
189	0.2515890494
190	0.2514127469
191	0.2512668843
192	0.2511702812
193	0.2510996136
194	0.2509950284
195	0.2507915977
196	0.2506607983
197	0.2505514449
198	0.2505486267
199	0.2503822981
200	0.2500261681
201	0.249945258
202	0.2495672955
203	0.2494118835
204	0.2491067195
205	0.2489463411
206	0.2489426917
207	0.2488616552
208	0.2486541751
209	0.2486169988
210	0.2483642353
211	0.2482604748
212	0.248204739
213	0.2480744979
214	0.2480465634
215	0.2476587562
216	0.2475546606
217	0.2475171975
218	0.247435812
219	0.24730581
220	0.2472340471
221	0.2471506722
222	0.2470159293
223	0.2468995172
224	0.2461177702
225	0.2460624334
226	0.2458973702
227	0.2458213603
228	0.2457369058
229	0.2454529401
230	0.2451727578
231	0.2446262451
232	0.2446117539
233	0.2439875791
234	0.2439288254
235	0.2438779836
236	0.243816291
237	0.2434049041
238	0.2433724976
239	0.243305658
240	0.2432072733
241	0.2431450841
242	0.242603072
243	0.2420807677
244	0.2419114603
245	0.2418674829
246	0.2417485873
247	0.2417248093
248	0.241694384
249	0.2412459838
250	0.2411727465
251	0.2411099155
252	0.2408595857
253	0.2407794604
254	0.2407532649
255	0.2406879263
256	0.2406648664
257	0.2405810129
258	0.2405349247
259	0.2404730974
260	0.2402677967
261	0.2402208763
262	0.2401716642
263	0.2401354896
264	0.2400443917
265	0.2397607261
266	0.2396881499
267	0.2396614627
268	0.2392119795
269	0.2391935011
270	0.2391482378
271	0.2390852271
272	0.2390061708
273	0.238771455
274	0.2386664641
275	0.2386307327
276	0.238580613
277	0.2385560931
278	0.2382144507
279	0.2381840132
280	0.2381381572
281	0.238082038
282	0.2380785553
283	0.2377056687
284	0.2376533029
285	0.2375809349
286	0.2375291382
287	0.237505108
288	0.2374214565
289	0.2373863815
290	0.2373394907
291	0.2373220351
292	0.2372465509
293	0.2371961207
294	0.2371886396
295	0.2371468869
296	0.236514025
297	0.2364151878
298	0.2362423173
299	0.2362135633
