iter	Passed	Remaining
0	66	19850
1	142	21242
2	200	19838
3	256	18965
4	312	18431
5	357	17509
6	398	16695
7	445	16260
8	509	16478
9	571	16579
10	627	16473
11	695	16683
12	755	16678
13	816	16672
14	878	16689
15	950	16878
16	1003	16700
17	1064	16673
18	1127	16675
19	1180	16528
20	1236	16422
21	1306	16510
22	1365	16442
23	1422	16361
24	1484	16331
25	1544	16275
26	1604	16218
27	1651	16041
28	1703	15915
29	1756	15807
30	1834	15915
31	1895	15875
32	1946	15750
33	1991	15578
34	2048	15512
35	2108	15463
36	2162	15368
37	2223	15332
38	2303	15412
39	2383	15491
40	2453	15496
41	2530	15545
42	2619	15658
43	2691	15657
44	2767	15681
45	2850	15741
46	2926	15752
47	2997	15736
48	3078	15767
49	3162	15814
50	3251	15874
51	3325	15860
52	3401	15854
53	3464	15781
54	3520	15683
55	3580	15600
56	3644	15537
57	3723	15535
58	3796	15509
59	3879	15519
60	3955	15498
61	4041	15512
62	4123	15513
63	4201	15491
64	4285	15494
65	4371	15499
66	4460	15513
67	4550	15526
68	4613	15446
69	4681	15381
70	4747	15311
71	4800	15201
72	4877	15168
73	4957	15141
74	5041	15123
75	5135	15136
76	5214	15101
77	5298	15080
78	5384	15063
79	5463	15025
80	5522	14929
81	5575	14822
82	5642	14752
83	5721	14711
84	5784	14632
85	5866	14598
86	5934	14530
87	5990	14431
88	6047	14338
89	6117	14274
90	6196	14232
91	6276	14190
92	6328	14086
93	6379	13981
94	6441	13899
95	6500	13814
96	6555	13718
97	6608	13620
98	6656	13515
99	6739	13479
100	6824	13446
101	6874	13345
102	6930	13255
103	6999	13191
104	7057	13107
105	7116	13024
106	7176	12944
107	7240	12872
108	7302	12796
109	7365	12721
110	7421	12637
111	7477	12550
112	7528	12459
113	7584	12373
114	7639	12289
115	7686	12193
116	7735	12099
117	7789	12014
118	7857	11951
119	7918	11878
120	7967	11787
121	8017	11697
122	8071	11615
123	8138	11551
124	8160	11424
125	8231	11367
126	8298	11303
127	8358	11231
128	8413	11153
129	8470	11077
130	8536	11013
131	8586	10928
132	8649	10860
133	8714	10795
134	8776	10727
135	8846	10668
136	8913	10605
137	8975	10536
138	9038	10468
139	9097	10396
140	9159	10329
141	9224	10264
142	9284	10193
143	9351	10130
144	9414	10063
145	9478	9997
146	9533	9922
147	9593	9852
148	9650	9779
149	9710	9710
150	9769	9640
151	9831	9573
152	9888	9500
153	9961	9443
154	10030	9383
155	10096	9319
156	10157	9251
157	10226	9190
158	10276	9113
159	10345	9052
160	10401	8980
161	10462	8912
162	10527	8848
163	10580	8774
164	10638	8704
165	10709	8645
166	10778	8583
167	10832	8511
168	10880	8434
169	10942	8367
170	11002	8300
171	11058	8229
172	11112	8157
173	11167	8086
174	11234	8024
175	11295	7958
176	11350	7887
177	11404	7816
178	11450	7740
179	11507	7671
180	11555	7597
181	11612	7528
182	11671	7461
183	11720	7389
184	11772	7317
185	11830	7251
186	11891	7185
187	11953	7120
188	12014	7056
189	12078	6993
190	12137	6926
191	12184	6853
192	12236	6783
193	12298	6719
194	12359	6655
195	12416	6588
196	12469	6519
197	12521	6450
198	12565	6377
199	12628	6314
200	12685	6248
201	12738	6180
202	12791	6112
203	12845	6044
204	12905	5980
205	12962	5914
206	12993	5837
207	13051	5772
208	13106	5706
209	13159	5639
210	13239	5584
211	13304	5522
212	13367	5459
213	13420	5393
214	13475	5327
215	13527	5260
216	13579	5193
217	13633	5128
218	13687	5062
219	13739	4996
220	13794	4930
221	13856	4868
222	13908	4802
223	13964	4738
224	14023	4674
225	14073	4608
226	14122	4541
227	14184	4479
228	14245	4416
229	14300	4352
230	14355	4287
231	14448	4234
232	14508	4172
233	14561	4106
234	14617	4043
235	14666	3977
236	14718	3912
237	14770	3847
238	14830	3785
239	14904	3726
240	14958	3662
241	15022	3600
242	15087	3539
243	15156	3478
244	15217	3416
245	15273	3352
246	15333	3290
247	15385	3226
248	15435	3161
249	15508	3101
250	15563	3038
251	15615	2974
252	15671	2911
253	15731	2848
254	15787	2786
255	15846	2723
256	15895	2659
257	15950	2596
258	15998	2532
259	16061	2471
260	16114	2407
261	16170	2345
262	16227	2282
263	16282	2220
264	16346	2158
265	16396	2095
266	16448	2033
267	16501	1970
268	16558	1908
269	16613	1845
270	16675	1784
271	16742	1723
272	16800	1661
273	16857	1599
274	16932	1539
275	16992	1477
276	17055	1416
277	17117	1354
278	17183	1293
279	17239	1231
280	17300	1169
281	17368	1108
282	17425	1046
283	17480	984
284	17534	922
285	17593	861
286	17647	799
287	17706	737
288	17768	676
289	17830	614
290	17892	553
291	17948	491
292	18009	430
293	18069	368
294	18134	307
295	18201	245
296	18265	184
297	18326	122
298	18391	61
299	18453	0
