Record_Date,Equipment_ID,Equipment_Type,Fleet_Category,Manufacturer,Fuel_Type,Equipment_Age_Year,Daily_Operating_Hours,ULD_Handling_Count,Consecutive_Working_Days,Cargo_Weight_Handled_KG,Overload_Event_Count,Breakdown_Count_6M,Operator_Experience_Years,Battery_Status,Hydraulic_Leak_Observed,Warehouse_Zone,Outdoor_Usage,Warning_Indicator_Count,Downtime_Hours_Last_30D,Peak_Hour_Operations,Failure_Risk_Level
2023-05-01,F-006,Forklift,Warehouse,Hyster,Electric,1.9,9,62,11,37820,0,0,11,Critical,No,Cold Storage,Yes,0,0,Yes,Low
2023-05-01,F-008,Forklift,Ramp,Caterpillar,Diesel,4.3,9,71,4,49061,0,0,8,Critical,No,Import,Yes,1,0,No,Low
2023-05-01,F-009,Forklift,Ramp,Caterpillar,Electric,2.2,10,23,8,7406,0,0,3,Critical,No,Cold Storage,No,0,0,Yes,Low
2023-05-01,F-010,Forklift,Warehouse,Hyster,Electric,4.4,9,57,6,28329,1,0,15,Critical,No,Import,Yes,0,0,Yes,Low
2023-05-01,F-011,Forklift,Warehouse,TLD,Electric,7.0,9,75,9,25650,1,0,11,Critical,No,General Cargo,No,1,0,No,Low
2023-05-01,F-013,Forklift,Ramp,Toyota,Diesel,3.0,12,43,5,29756,0,1,4,Critical,No,General Cargo,Yes,1,0,No,Low
2023-05-01,F-020,Forklift,Warehouse,Toyota,Diesel,1.2,12,60,2,23160,0,1,5,Critical,No,General Cargo,No,1,1,No,Low
2023-05-02,F-001,Forklift,Ramp,Hyster,Diesel,7.3,9,66,11,43296,0,0,8,Critical,No,General Cargo,No,1,0,No,Low
2023-05-02,BL-030,Belt Loader,Ramp,Caterpillar,Electric,0.7,10,74,4,32486,0,0,8,Critical,No,Cold Storage,Yes,0,1,Yes,Low
2023-05-02,UT-074,ULD Transporter,Cargo,Jungheinrich,Diesel,1.4,10,57,9,38304,1,1,1,Critical,No,Export,Yes,1,0,Yes,Low
2023-05-02,BL-029,Belt Loader,Cargo,Hyster,Diesel,1.2,11,16,4,8864,1,0,9,Critical,No,General Cargo,Yes,0,0,No,Low
2023-05-02,BL-028,Belt Loader,Cargo,Toyota,Diesel,5.3,8,44,7,20020,0,1,12,Critical,No,Export,No,0,0,Yes,Low
2023-05-02,BL-027,Belt Loader,Warehouse,Jungheinrich,Electric,2.8,12,25,6,16800,0,0,14,Critical,No,Export,No,0,0,Yes,Low
